2023-09-22 19:30:00,816 Starting training...
2023-09-22 19:42:52,677 Epoch: 3, Batch: 4, Loss: [1.1733643390243742e-08, 1.0]
2023-09-22 19:42:55,561 Epoch: 3, Batch: 5, Loss: [1.4086828741710633e-05, 1.0]
2023-09-22 19:42:58,348 Epoch: 3, Batch: 6, Loss: [0.008271843194961548, 1.0]
2023-09-22 19:43:01,229 Epoch: 3, Batch: 7, Loss: [0.02858204022049904, 1.0]
2023-09-22 19:43:04,124 Epoch: 3, Batch: 8, Loss: [5.138067749044239e-10, 1.0]
2023-09-22 19:43:07,008 Epoch: 3, Batch: 9, Loss: [1.1524090126613373e-08, 1.0]
2023-09-22 19:43:09,828 Epoch: 3, Batch: 10, Loss: [5.667697777766989e-08, 1.0]
2023-09-22 19:43:12,627 Epoch: 3, Batch: 11, Loss: [9.83481641014805e-06, 1.0]
2023-09-22 19:43:15,490 Epoch: 3, Batch: 12, Loss: [3.0598812372772954e-07, 1.0]
2023-09-22 19:43:18,336 Epoch: 3, Batch: 13, Loss: [0.10745018720626831, 0.96875]
2023-09-22 19:43:21,135 Epoch: 3, Batch: 14, Loss: [1.1095152352424975e-08, 1.0]
2023-09-22 19:43:23,886 Epoch: 3, Batch: 15, Loss: [2.364506812568834e-08, 1.0]
2023-09-22 19:43:26,724 Epoch: 3, Batch: 16, Loss: [9.002198431140584e-10, 1.0]
2023-09-22 19:43:33,763 Epoch: 4, Batch: 0, Loss: [1.5607447625964888e-11, 1.0]
2023-09-22 19:43:36,565 Epoch: 4, Batch: 1, Loss: [1.3309112034676218e-08, 1.0]
2023-09-22 19:43:39,423 Epoch: 4, Batch: 2, Loss: [6.583555922645701e-11, 1.0]
2023-09-22 19:43:42,147 Epoch: 4, Batch: 3, Loss: [4.207924633736759e-11, 1.0]
2023-09-22 19:43:44,979 Epoch: 4, Batch: 4, Loss: [2.3876352284180058e-12, 1.0]
2023-09-22 19:43:47,912 Epoch: 4, Batch: 5, Loss: [0.6500157713890076, 0.96875]
2023-09-22 19:43:50,684 Epoch: 4, Batch: 6, Loss: [3.6748496606842096e-11, 1.0]
2023-09-22 19:43:53,546 Epoch: 4, Batch: 7, Loss: [0.5671420693397522, 0.96875]
2023-09-22 19:43:56,391 Epoch: 4, Batch: 8, Loss: [7.08989866815557e-10, 1.0]
2023-09-22 19:43:59,247 Epoch: 4, Batch: 9, Loss: [2.2735098248460872e-09, 1.0]
2023-09-22 19:44:02,026 Epoch: 4, Batch: 10, Loss: [1.5089341331986361e-06, 1.0]
2023-09-22 19:44:04,870 Epoch: 4, Batch: 11, Loss: [1.3022709026699886e-06, 1.0]
2023-09-22 19:44:07,751 Epoch: 4, Batch: 12, Loss: [0.0003537841548677534, 1.0]
2023-09-22 19:44:10,521 Epoch: 4, Batch: 13, Loss: [4.3374175220378675e-06, 1.0]
2023-09-22 19:44:13,295 Epoch: 4, Batch: 14, Loss: [0.00012264962424524128, 1.0]
2023-09-22 19:44:16,194 Epoch: 4, Batch: 15, Loss: [0.00047827986418269575, 1.0]
2023-09-22 19:44:19,054 Epoch: 4, Batch: 16, Loss: [0.0026308081578463316, 1.0]
2023-09-22 19:44:24,338 Epoch: 5, Batch: 0, Loss: [0.0022362167946994305, 1.0]
2023-09-22 19:44:27,157 Epoch: 5, Batch: 1, Loss: [0.0009563828352838755, 1.0]
2023-09-22 19:44:30,070 Epoch: 5, Batch: 2, Loss: [0.00020015287736896425, 1.0]
2023-09-22 19:44:32,835 Epoch: 5, Batch: 3, Loss: [0.0002036014193436131, 1.0]
2023-09-22 19:44:35,646 Epoch: 5, Batch: 4, Loss: [2.0705560928035993e-06, 1.0]
2023-09-22 19:44:38,527 Epoch: 5, Batch: 5, Loss: [2.4607800241938094e-07, 1.0]
2023-09-22 19:44:41,388 Epoch: 5, Batch: 6, Loss: [1.0183306975442008e-10, 1.0]
2023-09-22 19:44:44,169 Epoch: 5, Batch: 7, Loss: [0.0010717337718233466, 1.0]
2023-09-22 19:44:47,000 Epoch: 5, Batch: 8, Loss: [0.3904610872268677, 0.96875]
2023-09-22 19:44:49,847 Epoch: 5, Batch: 9, Loss: [1.049456743729138e-09, 1.0]
